% class: {"招聘": 0, "生活服务": 1, "物业地产": 2, "汽车交通": 3, "社交": 4, "能源": 5, "硬件": 6, "安全": 7, "美业": 8, "旅游": 9, "法律": 10, "金融": 11, "婚恋": 12, "家装家居": 13, "农业": 14, "媒体娱乐": 15, "游戏": 16, "生物制药": 17, "云服务": 18, "教育培训": 19, "电子商务": 20, "医疗健康": 21, "市场营销": 22, "体育运动": 23}
@RELATION field 

@ATTRIBUTE 0 NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE 9 NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE 11 NUMERIC
@ATTRIBUTE 12 NUMERIC
@ATTRIBUTE 13 NUMERIC
@ATTRIBUTE 14 NUMERIC
@ATTRIBUTE 15 NUMERIC
@ATTRIBUTE 16 NUMERIC
@ATTRIBUTE 17 NUMERIC
@ATTRIBUTE 18 NUMERIC
@ATTRIBUTE 19 NUMERIC
@ATTRIBUTE 20 NUMERIC
@ATTRIBUTE 21 NUMERIC
@ATTRIBUTE 22 NUMERIC
@ATTRIBUTE 23 NUMERIC
@ATTRIBUTE 24 NUMERIC
@ATTRIBUTE 25 NUMERIC
@ATTRIBUTE 26 NUMERIC
@ATTRIBUTE 27 NUMERIC
@ATTRIBUTE 28 NUMERIC
@ATTRIBUTE 29 NUMERIC
@ATTRIBUTE class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}

@DATA
0.79625,10.0,-0.21728,0.00259,-10.0,-0.04148,-0.16571,-10.0,-0.21919,-0.28895,10.0,-0.19373,0.06563,-0.44571,0.60766,0.02169,10.0,-0.47518,0.32398,10.0,0.03179,-0.05694,10.0,0.32452,-0.03162,10.0,-0.04257,0.03945,10.0,-0.00989,5
0.79227,-10.0,-0.07009,-0.04434,10.0,-0.02946,-0.16462,10.0,-0.13894,-0.35478,10.0,0.00195,0.01272,-10.0,0.24209,-0.16486,10.0,-0.36506,0.17421,10.0,-0.05306,-0.02411,10.0,0.25729,-0.10909,-10.0,-0.062,0.11305,10.0,0.0565,5
0.9442,-10.0,-0.25485,0.07688,-10.0,-0.08623,-0.05459,-10.0,-0.17844,-0.52871,10.0,-0.10257,0.23519,-10.0,0.15476,0.09296,-10.0,-0.34918,-0.13021,10.0,-0.02666,-0.16516,-10.0,0.08106,-0.26194,10.0,0.04736,-0.03587,-10.0,-0.08707,5
0.54178,10.0,0.14578,0.07266,10.0,0.08388,0.41108,-10.0,0.2448,0.27584,-10.0,0.05208,0.01829,-10.0,0.0932,0.2812,-10.0,-0.17892,-0.16195,10.0,0.3155,-0.05864,-10.0,-0.00703,-0.0248,10.0,0.08773,-0.1412,10.0,-0.17599,5
0.99878,-10.0,-0.36706,0.00619,-10.0,-0.09053,-0.28893,-10.0,-0.37169,-0.36201,10.0,-0.46656,0.12044,10.0,0.96387,-0.06365,0.42842,-0.75611,0.26183,10.0,0.07961,-0.08571,10.0,0.48152,-0.08529,-10.0,-0.10192,0.07054,-10.0,0.02187,5
0.67289,10.0,0.33962,-0.0491,10.0,0.41706,0.68339,-10.0,0.16413,-0.46922,10.0,0.96697,0.47118,10.0,0.02591,0.07314,-10.0,0.23346,-0.09885,10.0,0.05326,0.13379,10.0,0.15532,0.00433,10.0,-0.05079,0.11988,10.0,0.09871,5
3.60389,-10.0,-0.57335,-0.15363,10.0,-0.0529,-0.73824,-10.0,-0.59821,-1.56003,10.0,0.22379,0.48286,-10.0,1.25239,-0.40471,10.0,-2.3122,0.70558,10.0,0.20885,0.63628,10.0,1.25479,-0.22096,10.0,0.77955,0.71627,10.0,0.37785,5
2.06394,10.0,0.00383,-0.33239,10.0,0.17025,-0.23664,-10.0,-0.16618,-1.37464,10.0,0.62419,0.69613,10.0,0.21143,-0.67496,10.0,-1.56466,0.36358,10.0,0.35096,0.37103,10.0,1.15279,0.16276,10.0,0.65204,0.6481,-10.0,0.35377,5
3.86649,10.0,-0.48314,-0.16841,10.0,0.41583,-0.25927,-10.0,-0.89201,-1.88611,-10.0,0.6368,0.74257,10.0,2.31121,0.50683,-10.0,-1.53679,0.79634,-10.0,0.21378,0.54232,-10.0,1.04322,-0.3923,10.0,0.19473,0.66422,10.0,0.11021,5
0.7552,10.0,0.22437,0.0,-10.0,0.15087,0.37979,-10.0,0.35789,-0.07182,10.0,0.20029,0.2764,-10.0,-0.05799,0.02896,10.0,-0.41751,-0.57642,10.0,-0.23308,-0.03025,10.0,0.08906,-0.02835,-10.0,0.26861,0.12374,10.0,-0.00692,5
